Date,Unnamed: 0,Unnamed: 1,open,close,high,low,Money,Factor,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2007-09-17,600519.XSHG,12,85.47,87.76,88.35,84.18,581454298.0,4.317,87.76,[],None,0.5491606714628329,0.1414868105515566,0.30935251798561053,,0,0.014903566389945958,0.01531171905284254,0.015384145649955074,0.015797584339858395
2007-09-18,600519.XSHG,13,87.9,84.59,87.9,83.67,218334186.0,4.317,84.59,['bearish engulfing'],None,0.7825059101654844,0.0,0.21749408983451557,,0,0.01592086038791137,0.015126147451070961,0.015161692735821897,0.014477301124531446
2007-09-19,600519.XSHG,14,83.8,81.72,84.03,80.72,410862934.0,4.317,81.72,[],None,0.6283987915407846,0.06948640483383801,0.30211480362537746,,0,0.014204438416035567,0.013530231675835284,0.01387495529132608,0.013281965847563512
2007-09-20,600519.XSHG,15,81.84,83.76,84.23,81.84,185888065.0,4.317,83.76,['bullish harami'],None,0.8033472803347286,0.19665271966527145,0.0,,0,0.013383904985577871,0.01361270794328932,0.014363479338049916,0.014131611828404833
2007-09-21,600519.XSHG,16,83.77,83.65,84.02,81.89,183153720.0,4.317,83.65,[],None,0.056338028169009666,0.1173708920187796,0.8262910798122107,,0,0.014191879230875504,0.01352610786246258,0.014385288447278658,0.014085797584339858
2007-09-24,600519.XSHG,17,83.16,81.72,84.2,81.15,450160399.0,4.317,81.72,[],None,0.4721311475409833,0.3409836065573794,0.18688524590163727,,0,0.01393650913262081,0.013600336503171214,0.01406251363069327,0.013281965847563512
2007-09-25,600519.XSHG,18,81.69,81.38,82.76,80.03,424466923.0,4.317,81.38,[],None,0.11355311355311422,0.3919413919413941,0.4945054945054917,,0,0.013321109059777535,0.01300650737750213,0.013573989583969433,0.013140358184089963
2007-09-26,600519.XSHG,19,80.28,84.13,85.18,80.28,450482553.0,4.317,84.13,['bullish engulfing'],None,0.7857142857142836,0.21428571428571636,0.0,85.2865,0,0.0127308273572544,0.014004470213696014,0.013683035130113142,0.014285714285714284
2007-09-27,600519.XSHG,20,84.13,84.37,85.18,82.32,185721030.0,4.317,84.37,[],None,0.0839160839160867,0.2832167832167827,0.6328671328671306,85.0295,0,0.014342589452796303,0.014004470213696014,0.014572846786645843,0.014385672636401503
2007-09-28,600519.XSHG,21,84.3,86.9,88.13,84.04,406110739.0,4.317,86.9,[],None,0.6356968215158962,0.3007334963325166,0.06356968215158719,84.7565,0,0.014413758168703349,0.015220995158643103,0.015323080144114595,0.01543940024989588
2007-10-08,600519.XSHG,22,87.51,84.98,89.4,84.89,349755743.0,4.317,84.98,['dark cloud cover'],None,0.5609756097560972,0.41906873614190654,0.0199556541019963,84.3905,0,0.015757590980830502,0.015744719456976256,0.015693835001003218,0.014639733444398173
2007-10-09,600519.XSHG,23,84.6,91.68,92.98,84.6,587350510.0,4.317,91.68,"['bullish engulfing', 'piercing line']",None,0.8448687350835328,0.15513126491646725,0.0,84.5625,0,0.014539350020304015,0.017221044644403573,0.015567342167476506,0.017430237401082883
2007-10-10,600519.XSHG,24,92.81,94.98,97.25,90.67,370471299.0,4.317,94.98,[],None,0.32978723404255356,0.34498480243161045,0.32522796352583605,84.92800000000001,0,0.017976380359108972,0.01898191295454733,0.018214968027845866,0.01880466472303207
2007-10-11,600519.XSHG,25,95.2,100.06,102.22,95.0,530601955.0,4.317,100.06,['three white soldiers'],None,0.6731301939058172,0.29916897506925166,0.027700831024931146,85.6,0,0.01897692877686096,0.02103144820078023,0.020103636887054983,0.020920449812578096
2007-10-12,600519.XSHG,26,101.12,103.26,104.19,97.02,456041256.0,4.317,103.26,"['hammer', 'three white soldiers']",None,0.298465829846583,0.12970711297071025,0.5718270571827068,86.5915,0,0.02145527464844748,0.02184383943520252,0.020984724899896185,0.022253227821740947
2007-10-15,600519.XSHG,27,101.7,108.91,112.04,101.7,388728699.0,4.317,108.91,['three white soldiers'],None,0.6972920696324943,0.30270793036750565,0.0,87.93350000000001,0,0.021698085561542103,0.0250810329327736,0.0230260575237065,0.024606413994169095
2007-10-16,600519.XSHG,28,109.14,106.86,109.14,104.6,389861626.0,4.317,106.86,[],None,0.5022026431718057,0.0,0.49779735682819426,89.124,0,0.024812763481238675,0.023885127054690012,0.02429098585897357,0.02375260308204915
2007-10-17,600519.XSHG,29,106.26,105.11,106.26,104.53,267399495.0,4.317,105.11,[],None,0.6647398843930653,0.0,0.33526011560693464,90.2295,0,0.02360708170587226,0.02269746880335184,0.02426045310605333,0.023023740108288213
2007-10-18,600519.XSHG,30,103.19,102.1,105.11,100.49,355237068.0,4.317,102.1,['three black crows'],None,0.23593073593073643,0.41558441558441556,0.348484848484848,91.18100000000001,0,0.022321858424492087,0.02222323026549111,0.022498277080370926,0.02177009579341941
2007-10-19,600519.XSHG,31,101.93,104.04,107.42,101.93,320347389.0,4.317,104.04,"['inverse hammer', 'piercing line', 'bullish engulfing']",None,0.38433515482695835,0.6156648451730417,0.0,92.098,0,0.021794372647769282,0.023175831154585273,0.02312637942615872,0.022578092461474387
2007-10-22,600519.XSHG,32,102.8,103.32,105.11,101.35,139362375.0,4.317,103.32,[],None,0.1382978723404243,0.47606382978723505,0.38563829787234066,92.876,0,0.022158589017411218,0.02222323026549111,0.022873393759105295,0.022278217409412743
2007-10-23,600519.XSHG,33,105.97,108.57,111.46,105.86,420266818.0,4.317,108.57,[],None,0.46428571428571375,0.5160714285714292,0.019642857142857063,94.075,0,0.023485676249324947,0.02484185175715688,0.024840575411537887,0.02446480633069554
2007-10-24,600519.XSHG,34,108.6,110.88,114.92,97.71,485816458.0,4.317,110.88,[],None,0.13248111563044743,0.23474723997675795,0.6327716443927947,95.533,0,0.02458669814835747,0.026268691184111775,0.02128569060725283,0.025426905456059974
2007-10-25,600519.XSHG,35,109.15,111.89,114.35,107.42,394422086.0,4.317,111.89,['three white soldiers'],None,0.39538239538239506,0.35497835497835445,0.2496392496392505,96.93950000000001,0,0.02481694987629203,0.02603363382186776,0.02552101961947466,0.025847563515202003
2007-10-26,600519.XSHG,36,110.15,112.64,113.19,106.91,379656727.0,4.317,112.64,"['hammer', 'three white soldiers']",None,0.39649681528662334,0.08757961783439444,0.5159235668789822,98.389,0,0.025235589381627593,0.025555271470634324,0.025298566705341478,0.026159933361099542
2007-10-29,600519.XSHG,37,111.46,110.15,114.06,109.08,212842981.0,4.317,110.15,['bearish harami'],None,0.26305220883533875,0.5220883534136559,0.21485943775100533,99.8105,0,0.02578400713361717,0.025914043234059405,0.026245082045868912,0.025122865472719705
2007-10-30,600519.XSHG,38,110.89,108.22,112.02,105.87,233823943.0,4.317,108.22,[],None,0.4341463414634155,0.1837398373983735,0.38211382113821096,101.1525,0,0.0255453826155759,0.025072785306028193,0.02484493723338364,0.02431903373594336
2007-10-31,600519.XSHG,39,108.46,110.31,111.11,108.46,206054370.0,4.317,110.31,['bullish harami'],None,0.6981132075471715,0.30188679245282846,0.0,102.4615,1,0.024528088617610487,0.02469751828911231,0.0259746490914325,0.025189504373177844
2007-11-01,600519.XSHG,40,111.17,106.73,111.17,106.2,178327384.0,4.317,106.73,"['bearish engulfing', 'dark cloud cover']",None,0.8933601609657945,0.0,0.10663983903420549,103.57950000000001,1,0.02566260167706986,0.02472226116934852,0.02498887735429334,0.02369845897542691
2007-11-02,600519.XSHG,41,105.68,106.3,106.72,102.8,250008018.0,4.317,106.3,['hammer'],sell,0.1581632653061199,0.10714285714285753,0.7346938775510226,104.54950000000001,1,0.023364270792777635,0.02288716421849613,0.023505857926738833,0.02351936693044565
2007-11-05,600519.XSHG,42,106.26,105.11,107.42,103.95,96705832.0,4.317,105.11,[],None,0.33141210374639946,0.3342939481268003,0.3342939481268003,105.556,1,0.02360708170587226,0.023175831154585273,0.02400746743899992,0.023023740108288213
2007-11-06,600519.XSHG,43,104.0,105.07,107.2,104.0,44828815.0,4.317,105.07,['inverse hammer'],None,0.3343749999999976,0.6656250000000025,0.0,106.22549999999998,1,0.02266095642381389,0.023085107260385828,0.024029276548228663,0.02300708038317368
2007-11-07,600519.XSHG,44,105.39,103.19,106.84,102.45,162628670.0,4.317,103.19,"['bearish engulfing', 'dark cloud cover']",None,0.5011389521640097,0.330296127562643,0.16856492027334732,106.636,1,0.023242865336230323,0.022936649978968552,0.02335319416213764,0.022224073302790505
2007-11-08,600519.XSHG,45,103.21,100.5,103.95,99.34,99837136.0,4.317,100.5,[],sell,0.5878524945770052,0.16052060737527316,0.25162689804772165,106.65799999999999,1,0.022330231214598796,0.021744867914257674,0.021996667568109845,0.021103706788837988
2007-11-09,600519.XSHG,46,99.34,99.05,102.39,98.46,88657729.0,4.317,99.05,[],None,0.07379134860051037,0.7760814249363847,0.15012722646310495,106.44749999999999,1,0.020710096328950184,0.02110155302811616,0.02161282724568397,0.020499791753436067
2007-11-12,600519.XSHG,47,99.11,98.36,99.68,96.73,256445671.0,4.317,98.36,['hanging man'],None,0.254237288135593,0.19322033898305316,0.5525423728813539,105.92,1,0.020613809242722998,0.019983999604113924,0.02085823206636948,0.02021241149521033
2007-11-13,600519.XSHG,48,99.33,102.67,105.65,99.33,425423638.0,4.317,102.67,[],None,0.5284810126582278,0.4715189873417722,0.0,105.7105,1,0.020705909933896822,0.02244591618761702,0.021992305746264092,0.02200749687630154
2007-11-14,600519.XSHG,49,102.67,107.98,108.2,102.67,203847742.0,4.317,107.98,[],None,0.9602169981916819,0.03978300180831805,0.0,105.854,1,0.022104165881717597,0.02349748859765603,0.023449154242744106,0.024219075385256146
2007-11-15,600519.XSHG,50,108.03,106.26,108.03,105.8,195317064.0,4.317,106.26,[],None,0.7937219730941673,0.0,0.2062780269058328,106.06199999999998,1,0.0243480736303162,0.023427383770320092,0.024814404480463393,0.023502707205331118
2007-11-16,600519.XSHG,51,105.97,103.95,105.97,103.56,67016964.0,4.317,103.95,[],None,0.8381742738589207,0.0,0.1618257261410793,106.0575,1,0.023485676249324947,0.022577878215543478,0.023837356387015726,0.022540608079966683
2007-11-19,600519.XSHG,52,103.95,105.39,107.42,102.57,98848664.0,4.317,105.39,[],None,0.29690721649484436,0.41855670103092735,0.2845360824742283,106.16100000000002,1,0.022640024448547118,0.023175831154585273,0.023405536024286615,0.023140358184089965
2007-11-20,600519.XSHG,53,105.39,107.14,107.42,105.11,174670137.0,4.317,107.14,[],None,0.7575757575757568,0.12121212121212159,0.12121212121212159,106.0895,1,0.023242865336230323,0.023175831154585273,0.024513438773106747,0.023869221157850895
2007-11-21,600519.XSHG,54,107.42,106.59,108.17,105.38,229047999.0,4.317,106.59,[],None,0.297491039426522,0.26881720430107464,0.4336917562724033,105.875,1,0.024092703532061513,0.023485117157537923,0.024631207962941954,0.023640149937526035
2007-11-22,600519.XSHG,55,105.11,102.95,106.26,102.66,140489848.0,4.317,102.95,[],None,0.5999999999999976,0.31944444444444525,0.0805555555555571,105.428,1,0.023125646274736365,0.02269746880335184,0.023444792420898353,0.022124114952103292
2007-11-23,600519.XSHG,56,102.8,100.49,104.53,99.62,134898312.0,4.317,100.49,['three black crows'],None,0.4704684317718949,0.3523421588594715,0.1771894093686336,104.8205,1,0.022158589017411218,0.021984049089874388,0.022118798579790804,0.02109954185755935
